Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/03/2023 01:27 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Y0gv5U
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2021
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2021,Armenia,ARM,Belgium,BEL,154,285,-
2021,Armenia,ARM,Belarus,BLR,5,0,-
2021,Armenia,ARM,Brazil,BRA,5,7,-
2021,Armenia,ARM,Bulgaria,BGR,11,5,-
2021,Armenia,ARM,Canada,CAN,32,11,-
2021,Armenia,ARM,Cyprus,CYP,26,16,-
2021,Armenia,ARM,Czechia,CZE,21,6,-
2021,Armenia,ARM,Denmark,DNK,76,17,-
2021,Armenia,ARM,Finland,FIN,0,5,-
2021,Armenia,ARM,France,FRA,6407,659,-
2021,Armenia,ARM,"United Kingdom of Great Britain and Northern Ireland",GBR,56,10,-
2021,Armenia,ARM,Germany,DEU,2744,1896,-
2021,Armenia,ARM,Greece,GRC,12,45,-
2021,Armenia,ARM,Hungary,HUN,39,0,-
2021,Armenia,ARM,Ireland,IRL,14,0,-
2021,Armenia,ARM,Israel,ISR,0,31,-
2021,Armenia,ARM,Italy,ITA,213,119,-
2021,Armenia,ARM,Lebanon,LBN,0,11,-
2021,Armenia,ARM,Luxembourg,LUX,5,0,-
2021,Armenia,ARM,"Rep. of Moldova",MDA,11,0,-
2021,Armenia,ARM,Malta,MLT,0,5,-
2021,Armenia,ARM,Netherlands,NLD,141,20,-
2021,Armenia,ARM,Norway,NOR,5,0,-
2021,Armenia,ARM,Panama,PAN,0,5,-
2021,Armenia,ARM,Poland,POL,5,13,-
2021,Armenia,ARM,Portugal,PRT,5,0,-
2021,Armenia,ARM,"Russian Federation",RUS,13,5,-
2021,Armenia,ARM,Spain,ESP,45,295,-
2021,Armenia,ARM,Slovakia,SVK,34,0,-
2021,Armenia,ARM,Sweden,SWE,291,120,-
2021,Armenia,ARM,Switzerland,CHE,163,24,-
2021,Armenia,ARM,Ukraine,UKR,52,0,-
2021,Armenia,ARM,"United States of America",USA,1286,5344,-
2021,Australia,AUS,Canada,CAN,0,7,-
2021,Australia,AUS,"United Kingdom of Great Britain and Northern Ireland",GBR,5,0,-
2021,Australia,AUS,Germany,DEU,6,0,-
2021,Australia,AUS,Malaysia,MYS,5,0,-
2021,Australia,AUS,"United States of America",USA,0,14,-
2021,Austria,AUT,Canada,CAN,5,0,-
2021,Austria,AUT,Germany,DEU,5,0,-
2021,Austria,AUT,"United States of America",USA,13,5,-
2021,Azerbaijan,AZE,Armenia,ARM,27933,0,-
2021,Azerbaijan,AZE,Australia,AUS,9,12,-
2021,Azerbaijan,AZE,Austria,AUT,150,107,-
2021,Azerbaijan,AZE,Belgium,BEL,90,50,-
2021,Azerbaijan,AZE,Belarus,BLR,5,0,-
2021,Azerbaijan,AZE,"Bosnia and Herzegovina",BIH,5,0,-
2021,Azerbaijan,AZE,Canada,CAN,723,52,-
2021,Azerbaijan,AZE,Czechia,CZE,26,18,-
2021,Azerbaijan,AZE,Denmark,DNK,30,0,-
2021,Azerbaijan,AZE,Estonia,EST,5,0,-
2021,Azerbaijan,AZE,Finland,FIN,70,5,-
2021,Azerbaijan,AZE,France,FRA,4667,241,-
2021,Azerbaijan,AZE,"United Kingdom of Great Britain and Northern Ireland",GBR,143,71,-
2021,Azerbaijan,AZE,Georgia,GEO,0,5,-
2021,Azerbaijan,AZE,Germany,DEU,3878,2468,-
2021,Azerbaijan,AZE,Greece,GRC,5,0,-
2021,Azerbaijan,AZE,Croatia,HRV,5,0,-
2021,Azerbaijan,AZE,Hungary,HUN,12,0,-
2021,Azerbaijan,AZE,Iceland,ISL,5,0,-
2021,Azerbaijan,AZE,Ireland,IRL,5,0,-
2021,Azerbaijan,AZE,Israel,ISR,0,39,-
2021,Azerbaijan,AZE,Italy,ITA,6,24,-
2021,Azerbaijan,AZE,"Rep. of Korea",KOR,0,8,-
2021,Azerbaijan,AZE,Lithuania,LTU,17,0,-
2021,Azerbaijan,AZE,Luxembourg,LUX,13,0,-
2021,Azerbaijan,AZE,Latvia,LVA,11,6,-
2021,Azerbaijan,AZE,"Rep. of Moldova",MDA,5,0,-
2021,Azerbaijan,AZE,Netherlands,NLD,172,72,-
2021,Azerbaijan,AZE,Norway,NOR,14,0,-
2021,Azerbaijan,AZE,Poland,POL,10,0,-
2021,Azerbaijan,AZE,Portugal,PRT,0,5,-
2021,Azerbaijan,AZE,"Russian Federation",RUS,24,0,-
2021,Azerbaijan,AZE,Spain,ESP,51,65,-
2021,Azerbaijan,AZE,Sweden,SWE,585,216,-
2021,Azerbaijan,AZE,Switzerland,CHE,207,70,-
2021,Azerbaijan,AZE,Turkmenistan,TKM,6,0,-
2021,Azerbaijan,AZE,Ukraine,UKR,70,29,-
2021,Azerbaijan,AZE,"United States of America",USA,521,1672,-
2021,Bahrain,BHR,Australia,AUS,48,6,-
2021,Bahrain,BHR,Canada,CAN,65,5,-
2021,Bahrain,BHR,Denmark,DNK,0,5,-
2021,Bahrain,BHR,France,FRA,21,0,-
2021,Bahrain,BHR,"United Kingdom of Great Britain and Northern Ireland",GBR,116,6,-
2021,Bahrain,BHR,Germany,DEU,74,5,-
2021,Bahrain,BHR,Ireland,IRL,5,6,-
2021,Bahrain,BHR,Iraq,IRQ,0,25,-
2021,Bahrain,BHR,Lebanon,LBN,14,5,-
2021,Bahrain,BHR,Netherlands,NLD,12,0,-
2021,Bahrain,BHR,"New Zealand",NZL,10,0,-
2021,Bahrain,BHR,"South Africa",ZAF,0,5,-
2021,Bahrain,BHR,Sweden,SWE,16,0,-
2021,Bahrain,BHR,"Syrian Arab Rep.",SYR,0,5,-
2021,Bahrain,BHR,"United States of America",USA,35,64,-
2021,Barbados,BRB,Canada,CAN,250,74,-
2021,Barbados,BRB,"United Kingdom of Great Britain and Northern Ireland",GBR,15,17,-
2021,Burundi,BDI,Angola,AGO,18,99,-
2021,Burundi,BDI,Egypt,EGY,55,62,-
2021,Burundi,BDI,Argentina,ARG,5,0,-
2021,Burundi,BDI,Australia,AUS,48,28,-
2021,Burundi,BDI,Austria,AUT,15,0,-
2021,Burundi,BDI,Belgium,BEL,2246,415,-
2021,Burundi,BDI,Benin,BEN,5,0,-
2021,Burundi,BDI,"Burkina Faso",BFA,28,0,-
2021,Burundi,BDI,Botswana,BWA,58,0,-
2021,Burundi,BDI,Brazil,BRA,46,24,-
2021,Burundi,BDI,Canada,CAN,2870,191,-
2021,Burundi,BDI,"Central African Rep.",CAF,24,0,-
2021,Burundi,BDI,Chad,TCD,6,0,-
